Date,Open,High,Low,Close,Adj Close,Volume
2006-12-01,null,null,null,null,null,null
2007-01-01,51.419998,51.419998,42.560001,48.240002,48.240002,131362300
2007-02-01,48.250000,51.540001,47.299999,51.180000,51.180000,80610100
2007-03-01,50.990002,54.200001,47.779999,53.349998,53.349998,64647300
2007-04-01,53.549999,54.220001,49.150002,51.240002,51.240002,55318200
2007-05-01,51.119999,51.630001,47.389999,48.959999,48.959999,65348100
2007-06-01,49.130001,53.450001,48.860001,53.000000,53.000000,68340300
2007-07-01,52.700001,58.830002,52.360001,58.529999,58.529999,45770500
2007-08-01,58.500000,59.200001,51.759998,55.779999,55.779999,62580900
2007-09-01,55.959999,64.250000,55.930000,62.549999,62.549999,53904300
2007-10-01,62.270000,73.430000,60.189999,73.269997,73.269997,68435100
2007-11-01,73.160004,77.589996,69.580002,69.910004,69.910004,75260400
2007-12-01,69.160004,77.320000,68.300003,75.760002,75.760002,60402900
2008-01-01,77.379997,79.089996,68.629997,72.349998,72.349998,80901700
2008-02-01,72.169998,81.709999,68.570000,80.419998,80.419998,77670000
2008-03-01,81.480003,87.790001,78.500000,81.360001,81.360001,146933600
2008-04-01,80.000000,96.279999,79.769997,92.500000,92.500000,141313400
2008-05-01,90.779999,108.360001,88.889999,103.059998,103.059998,256045500
2008-06-01,101.940002,115.769997,98.620003,113.660004,113.660004,298611400
2008-07-01,115.690002,119.169998,97.029999,99.989998,99.989998,334971700
2008-08-01,99.620003,103.639999,89.830002,92.870003,92.870003,276420500
2008-09-01,86.879997,89.300003,72.949997,82.010002,82.010002,311515500
2008-10-01,79.570000,81.440002,50.439999,55.590000,55.590000,246367300
2008-11-01,53.799999,58.779999,39.160000,42.090000,42.090000,227350200
2008-12-01,41.090000,41.639999,27.730000,33.099998,33.099998,573217300
2009-01-01,33.770000,38.750000,28.420000,29.219999,29.219999,785933000
2009-02-01,28.440001,30.000000,22.740000,27.049999,27.049999,750832500
2009-03-01,25.540001,32.160000,23.530001,29.049999,29.049999,593478000
2009-04-01,28.160000,31.230000,26.280001,28.629999,28.629999,325310400
2009-05-01,29.100000,36.419998,29.020000,36.400002,36.400002,264906000
2009-06-01,36.990002,40.000000,35.560001,37.930000,37.930000,287378200
2009-07-01,38.700001,38.869999,31.570000,36.810001,36.810001,298098100
2009-08-01,37.930000,38.799999,34.910000,36.049999,36.049999,243840000
2009-09-01,36.230000,37.840000,33.689999,36.189999,36.189999,269184200
2009-10-01,36.279999,41.919998,35.000000,39.320000,39.320000,321865600
2009-11-01,39.330002,41.439999,37.290001,39.150002,39.150002,247027700
2009-12-01,39.860001,40.060001,35.220001,39.279999,39.279999,263680900
2010-01-01,40.040001,41.189999,35.500000,35.639999,35.639999,228843600
2010-02-01,36.020000,39.230000,34.070000,38.820000,38.820000,267385500
2010-03-01,39.049999,40.630001,38.020000,40.290001,40.290001,231461500
2010-04-01,41.009998,42.189999,39.290001,41.330002,41.330002,201607700
2010-05-01,41.299999,41.900002,30.930000,34.040001,34.040001,394562300
2010-06-01,33.650002,36.040001,32.450001,33.959999,33.959999,239913400
2010-07-01,33.630001,35.560001,32.270000,35.340000,35.340000,187234900
2010-08-01,36.180000,37.150002,31.500000,31.920000,31.920000,201538400
2010-09-01,32.470001,34.959999,32.200001,34.840000,34.840000,184622600
2010-10-01,35.349998,36.669998,34.560001,35.169998,35.169998,179410400
2010-11-01,36.139999,38.060001,34.549999,36.040001,36.040001,220332100
2010-12-01,36.700001,39.250000,36.200001,39.000000,39.000000,137018100
2011-01-01,39.340000,39.480000,35.930000,38.610001,38.610001,218842800
2011-02-01,38.669998,40.599998,35.209999,39.189999,39.189999,358363800
2011-03-01,39.520000,42.830002,39.150002,42.599998,42.599998,432096600
2011-04-01,42.720001,45.349998,42.099998,45.150002,45.150002,216145300
2011-05-01,44.990002,45.599998,37.720001,40.500000,40.500000,428646300
2011-06-01,40.540001,40.560001,35.139999,37.240002,37.240002,269778500
2011-07-01,36.970001,39.250000,36.660000,37.419998,37.419998,175947800
2011-08-01,38.389999,38.470001,30.309999,34.509998,34.509998,373915800
2011-09-01,34.480000,35.080002,30.230000,30.490000,30.490000,242011200
2011-10-01,30.010000,36.490002,29.100000,35.740002,35.740002,271398700
2011-11-01,34.630001,39.740002,34.540001,38.779999,38.779999,278356400
2011-12-01,38.660000,39.500000,35.730000,38.110001,38.110001,199938000
2012-01-01,39.240002,39.959999,37.490002,37.820000,37.820000,205625300
2012-02-01,38.130001,42.070000,36.680000,40.919998,40.919998,196073100
2012-03-01,41.139999,42.299999,38.869999,39.230000,39.230000,230615300
2012-04-01,38.930000,40.130001,38.310001,39.680000,39.680000,115590300
2012-05-01,39.630001,40.290001,32.369999,32.610001,32.610001,173034200
2012-06-01,31.700001,32.799999,29.020000,31.830000,31.830000,218015500
2012-07-01,31.430000,34.840000,30.820000,32.680000,32.680000,186822100
2012-08-01,33.029999,36.450001,32.459999,35.889999,35.889999,150928700
2012-09-01,35.959999,37.169998,32.980000,34.119999,34.119999,175777500
2012-10-01,34.450001,34.700001,31.350000,31.780001,31.780001,193361900
2012-11-01,31.850000,32.930000,31.000000,32.560001,32.560001,167661300
2012-12-01,33.040001,33.470001,31.219999,33.369999,33.369999,83507600
2013-01-01,34.000000,35.529999,33.570000,35.279999,35.279999,91482000
2013-02-01,35.020000,35.520000,32.959999,33.060001,33.060001,95979900
2013-03-01,32.660000,34.840000,32.160000,34.750000,34.750000,85295400
2013-04-01,34.430000,34.860001,30.790001,33.160000,33.160000,138044800
2013-05-01,32.369999,34.590000,32.119999,32.610001,32.610001,143471400
2013-06-01,32.930000,35.060001,32.790001,34.180000,34.180000,104279000
2013-07-01,34.610001,38.619999,34.459999,37.360001,37.360001,130623600
2013-08-01,38.099998,39.459999,36.349998,38.480000,38.480000,147633400
2013-09-01,38.250000,39.540001,36.400002,36.849998,36.849998,121577200
2013-10-01,36.610001,37.590000,34.590000,34.689999,34.689999,138646200
2013-11-01,34.450001,34.450001,32.950001,33.459999,33.459999,109617000
2013-12-01,33.470001,36.070000,33.419998,35.320000,35.320000,103047300
2014-01-01,34.689999,35.180000,32.680000,34.799999,34.799999,117018900
2014-02-01,34.799999,37.110001,34.360001,36.740002,36.740002,71033000
2014-03-01,37.389999,37.740002,34.970001,36.590000,36.590000,66206100
2014-04-01,36.450001,37.810001,35.630001,36.320000,36.320000,57402400
2014-05-01,36.029999,38.270000,35.959999,37.680000,37.680000,41454900
